IBGE7,IBGE_2,NU_IDENTIFICADOR,Região,UF,codigo_ibge,q0_1,q1_1,q1_2,q3,q7,q8,incompletos,IBGE,uf_s,Região_2,UF_2,Municipio_2013,area,Pop_Total2010,Pop_Urbana2010,Pop_Rural2010,Porte_pop2010
2210656,221065,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221065,PI,Região Nordeste,PI,Sigefredo Pacheco,982.07,9619,3176,6443,Pequeno I
2210706,221070,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221070,PI,Região Nordeste,PI,Simões,1023.92,14180,5689,8491,Pequeno I
2210805,221080,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221080,PI,Região Nordeste,PI,Simplício Mendes,1398.95,12077,7163,4914,Pequeno I
2210904,221090,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221090,PI,Região Nordeste,PI,Socorro do Piauí,692.99,4522,1630,2892,Pequeno I
2210938,221093,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221093,PI,Região Nordeste,PI,Sussuapara,220.07,6229,1582,4647,Pequeno I
2210953,221095,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221095,PI,Região Nordeste,PI,Tamboril do Piauí,1578.64,2753,1512,1241,Pequeno I
2210979,221097,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221097,PI,Região Nordeste,PI,Tanque do Piauí,377.04,2620,1239,1381,Pequeno I
2211100,221110,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221110,PI,Região Nordeste,PI,União,1173.45,42654,20965,21689,Pequeno II
2211209,221120,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221120,PI,Região Nordeste,PI,Uruçuí,8452.03,20149,15505,4644,Pequeno II
2211308,221130,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221130,PI,Região Nordeste,PI,Valença do Piauí,1350.52,20326,15798,4528,Pequeno II
2211357,221135,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221135,PI,Região Nordeste,PI,Várzea Branca,435.18,4913,1147,3766,Pequeno I
2211407,221140,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221140,PI,Região Nordeste,PI,Várzea Grande,233.93,4336,2581,1755,Pequeno I
2211506,221150,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221150,PI,Região Nordeste,PI,Vera Mendes,310.37,2986,966,2020,Pequeno I
2211605,221160,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221160,PI,Região Nordeste,PI,Vila Nova do Piauí,167.96,3076,759,2317,Pequeno I
2211704,221170,2211003306552,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO LAR DA CRIANÇA MARIA JOÃO DE DEUS, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221170,PI,Região Nordeste,PI,Wall Ferraz,264.71,4280,1166,3114,Pequeno I
2210938,221093,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,221093,PI,Região Nordeste,PI,Sussuapara,220.07,6229,1582,4647,Pequeno I
2200053,220005,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220005,PI,Região Nordeste,PI,Acauã,1029.41,6749,901,5848,Pequeno I
2200103,220010,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220010,PI,Região Nordeste,PI,Agricolândia,112.42,5098,3602,1496,Pequeno I
2200202,220020,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220020,PI,Região Nordeste,PI,Água Branca,97.04,16451,14539,1912,Pequeno I
2200251,220025,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220025,PI,Região Nordeste,PI,Alagoinha do Piauí,448.1,7341,2669,4672,Pequeno I
2200277,220027,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220027,PI,Região Nordeste,PI,Alegrete do Piauí,281.27,5153,2837,2316,Pequeno I
2200301,220030,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220030,PI,Região Nordeste,PI,Alto Longá,1621.35,13646,6714,6932,Pequeno I
2200400,220040,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220040,PI,Região Nordeste,PI,Altos,957.62,38822,27388,11434,Pequeno II
2200459,220045,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220045,PI,Região Nordeste,PI,Alvorada do Gurguéia,2131.94,5050,1849,3201,Pequeno I
2200509,220050,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220050,PI,Região Nordeste,PI,Amarante,1304.78,17135,8772,8363,Pequeno I
2200608,220060,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220060,PI,Região Nordeste,PI,Angical do Piauí,201.21,6672,5214,1458,Pequeno I
2200707,220070,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220070,PI,Região Nordeste,PI,Anísio de Abreu,326.82,9098,4503,4595,Pequeno I
2200806,220080,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220080,PI,Região Nordeste,PI,Antônio Almeida,652.73,3039,2224,815,Pequeno I
2200905,220090,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220090,PI,Região Nordeste,PI,Aroazes,816.61,5779,3430,2349,Pequeno I
2200954,220095,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220095,PI,Região Nordeste,PI,Aroeiras do Itaim,257.138,2440,238,2202,Pequeno I
2201002,220100,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220100,PI,Região Nordeste,PI,Arraial,635.82,4688,2433,2255,Pequeno I
2201051,220105,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220105,PI,Região Nordeste,PI,Assunção do Piauí,1690.72,7503,3378,4125,Pequeno I
2201101,220110,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220110,PI,Região Nordeste,PI,Avelino Lopes,1209.38,11067,6714,4353,Pequeno I
2201150,220115,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220115,PI,Região Nordeste,PI,Baixa Grande do Ribeiro,7808.95,10516,6487,4029,Pequeno I
2201176,220117,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220117,PI,Região Nordeste,PI,Barra D'Alcântara,351.03,3852,2032,1820,Pequeno I
2201200,220120,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220120,PI,Região Nordeste,PI,Barras,1721.59,44850,22126,22724,Pequeno II
2201309,220130,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220130,PI,Região Nordeste,PI,Barreiras do Piauí,2028.28,3234,1875,1359,Pequeno I
2201408,220140,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220140,PI,Região Nordeste,PI,Barro Duro,131.12,6607,4789,1818,Pequeno I
2201507,220150,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220150,PI,Região Nordeste,PI,Batalha,1588.91,25774,9607,16167,Pequeno II
2201556,220155,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220155,PI,Região Nordeste,PI,Bela Vista do Piauí,312.36,3778,1243,2535,Pequeno I
2201572,220157,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220157,PI,Região Nordeste,PI,Belém do Piauí,220.93,3284,1603,1681,Pequeno I
2201606,220160,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220160,PI,Região Nordeste,PI,Beneditinos,792.56,9911,6261,3650,Pequeno I
2201705,220170,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220170,PI,Região Nordeste,PI,Bertolínia,1225.17,5319,3894,1425,Pequeno I
2201739,220173,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220173,PI,Região Nordeste,PI,Betânia do Piauí,1092.31,6015,1678,4337,Pequeno I
2201770,220177,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220177,PI,Região Nordeste,PI,Boa Hora,335.75,6296,1524,4772,Pequeno I
2201804,220180,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220180,PI,Região Nordeste,PI,Bocaina,257.3,4369,1746,2623,Pequeno I
2201903,220190,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220190,PI,Região Nordeste,PI,Bom Jesus,5469.16,22629,17623,5006,Pequeno II
2201919,220191,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220191,PI,Região Nordeste,PI,Bom Princípio do Piauí,521.57,5304,1654,3650,Pequeno I
2201929,220192,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220192,PI,Região Nordeste,PI,Bonfim do Piauí,293.59,5393,1635,3758,Pequeno I
2201945,220194,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220194,PI,Região Nordeste,PI,Boqueirão do Piauí,281.19,6193,2666,3527,Pequeno I
2201960,220196,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220196,PI,Região Nordeste,PI,Brasileira,880.89,7966,3483,4483,Pequeno I
2201988,220198,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220198,PI,Região Nordeste,PI,Brejo do Piauí,2212.93,3850,1426,2424,Pequeno I
2202000,220200,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220200,PI,Região Nordeste,PI,Buriti dos Lopes,691.36,19074,10294,8780,Pequeno I
2202026,220202,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220202,PI,Região Nordeste,PI,Buriti dos Montes,2652.1,7974,2421,5553,Pequeno I
2202059,220205,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220205,PI,Região Nordeste,PI,Cabeceiras do Piauí,608.51,9928,1657,8271,Pequeno I
2202075,220207,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220207,PI,Região Nordeste,PI,Cajazeiras do Piauí,555.55,3343,1112,2231,Pequeno I
2202083,220208,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220208,PI,Região Nordeste,PI,Cajueiro da Praia,271.35,7163,2699,4464,Pequeno I
2202091,220209,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220209,PI,Região Nordeste,PI,Caldeirão Grande do Piauí,514.31,5671,1662,4009,Pequeno I
2202109,220210,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220210,PI,Região Nordeste,PI,Campinas do Piauí,796.95,5408,1807,3601,Pequeno I
2202117,220211,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220211,PI,Região Nordeste,PI,Campo Alegre do Fidalgo,755.53,4693,1224,3469,Pequeno I
2202133,220213,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220213,PI,Região Nordeste,PI,Campo Grande do Piauí,291.58,5592,1569,4023,Pequeno I
2202174,220217,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220217,PI,Região Nordeste,PI,Campo Largo do Piauí,477.92,6803,1430,5373,Pequeno I
2202208,220220,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220220,PI,Região Nordeste,PI,Campo Maior,1699.38,45177,33521,11656,Pequeno II
2202251,220225,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220225,PI,Região Nordeste,PI,Canavieira,1803.47,3921,1738,2183,Pequeno I
2202307,220230,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220230,PI,Região Nordeste,PI,Canto do Buriti,4409.8,20020,11130,8890,Pequeno II
2202406,220240,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220240,PI,Região Nordeste,PI,Capitão de Campos,538.68,10953,6347,4606,Pequeno I
2202455,220245,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220245,PI,Região Nordeste,PI,Capitão Gervásio Oliveira,1114.41,3878,1162,2716,Pequeno I
2202505,220250,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220250,PI,Região Nordeste,PI,Caracol,449.47,10212,4028,6184,Pequeno I
2202539,220253,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220253,PI,Região Nordeste,PI,Caraúbas do Piauí,471.45,5525,972,4553,Pequeno I
2202554,220255,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220255,PI,Região Nordeste,PI,Caridade do Piauí,423.37,4826,1579,3247,Pequeno I
2202604,220260,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220260,PI,Região Nordeste,PI,Castelo do Piauí,2063.96,18336,11479,6857,Pequeno I
2202653,220265,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220265,PI,Região Nordeste,PI,Caxingó,488.16,5039,966,4073,Pequeno I
2202703,220270,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220270,PI,Região Nordeste,PI,Cocal,1269.07,26036,12020,14016,Pequeno II
2202711,220271,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220271,PI,Região Nordeste,PI,Cocal de Telha,322.1,4525,2667,1858,Pequeno I
2202729,220272,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220272,PI,Região Nordeste,PI,Cocal dos Alves,358.1,5572,1782,3790,Pequeno I
2202737,220273,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220273,PI,Região Nordeste,PI,Coivaras,506.72,3811,1173,2638,Pequeno I
2202752,220275,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220275,PI,Região Nordeste,PI,Colônia do Gurguéia,430.61,6036,4850,1186,Pequeno I
2202778,220277,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220277,PI,Região Nordeste,PI,Colônia do Piauí,947.93,7433,2644,4789,Pequeno I
2202802,220280,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220280,PI,Região Nordeste,PI,Conceição do Canindé,903.88,4475,2363,2112,Pequeno I
2202851,220285,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220285,PI,Região Nordeste,PI,Coronel José Dias,1822.12,4541,1491,3050,Pequeno I
2202901,220290,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220290,PI,Região Nordeste,PI,Corrente,3051.16,25407,15693,9714,Pequeno II
2203008,220300,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220300,PI,Região Nordeste,PI,Cristalândia do Piauí,1202.9,7831,2945,4886,Pequeno I
2203107,220310,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220310,PI,Região Nordeste,PI,Cristino Castro,1848.69,9981,7262,2719,Pequeno I
2203206,220320,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220320,PI,Região Nordeste,PI,Curimatá,2360.53,10761,7084,3677,Pequeno I
2203230,220323,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220323,PI,Região Nordeste,PI,Currais,3156.65,4704,924,3780,Pequeno I
2203255,220325,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220325,PI,Região Nordeste,PI,Curralinhos,362.79,4183,1331,2852,Pequeno I
2203271,220327,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220327,PI,Região Nordeste,PI,Curral Novo do Piauí,765.53,4869,1379,3490,Pequeno I
2203305,220330,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220330,PI,Região Nordeste,PI,Demerval Lobão,221.02,13278,10873,2405,Pequeno I
2203354,220335,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220335,PI,Região Nordeste,PI,Dirceu Arcoverde,1005.71,6675,2369,4306,Pequeno I
2203404,220340,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220340,PI,Região Nordeste,PI,Dom Expedito Lopes,219.07,6569,3572,2997,Pequeno I
2203420,220342,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220342,PI,Região Nordeste,PI,Domingos Mourão,846.83,4264,958,3306,Pequeno I
2203453,220345,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220345,PI,Região Nordeste,PI,Dom Inocêncio,4024.39,9245,2018,7227,Pequeno I
2203503,220350,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220350,PI,Região Nordeste,PI,Elesbão Veloso,1285.68,14512,10124,4388,Pequeno I
2203602,220360,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220360,PI,Região Nordeste,PI,Eliseu Martins,1090.5,4665,3821,844,Pequeno I
2203701,220370,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220370,PI,Região Nordeste,PI,Esperantina,911.21,37767,23158,14609,Pequeno II
2203750,220375,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220375,PI,Região Nordeste,PI,Fartura do Piauí,717.99,5074,1336,3738,Pequeno I
2203800,220380,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220380,PI,Região Nordeste,PI,Flores do Piauí,972.21,4366,1987,2379,Pequeno I
2203859,220385,2211003306553,Região Nordeste,PI,22,UNIDADE DE ACOLHIMENTO ABRIGO FEMININO, Crianças/adolescentes,Abrigo institucional, Governamental,Estadual, Sim, ,220385,PI,Região Nordeste,PI,Floresta do Piauí,206.14,2482,861,1621,Pequeno I
