IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2022;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
230725;2307253311901; Feminino; Fundamental Incompleto; Sem formação profissional; Servidor(a) Temporária(o); Serviços Gerais; De 31 a 40 horas semanais;07/02/2022;2307254;Ceará;Região Nordeste;Jijoca de Jericoacoara;17002;5556;11446;Pequeno I;204,793;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;1;1;2; ;1; ; ;1; ; ;1;3;4;Selected
230725;2307253311901; Feminino; Especialização; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;04/01/2022;2307254;Ceará;Região Nordeste;Jijoca de Jericoacoara;17002;5556;11446;Pequeno I;204,793;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;1;1;2; ;1; ; ;1; ; ;1;3;4;Selected
231240;2312403311779; Feminino; Especialização; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;31/01/2022;2312403;Ceará;Região Nordeste;São Gonçalo do Amarante;43890;28537;15353;Pequeno II;834,448;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ; ; ;3;1;1; ; ;1;3; ; ; ;3;Selected
231240;2312403311779; Masculino; Mestrado; Psicóloga(o); Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 11 a 20 horas semanais;01/02/2021;2312403;Ceará;Região Nordeste;São Gonçalo do Amarante;43890;28537;15353;Pequeno II;834,448;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ; ; ;3;1;1; ; ;1;3; ; ; ;3;Selected
231240;2312403311779; Feminino; Mestrado; Pedagoga(o); Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;07/04/2020;2312403;Ceará;Região Nordeste;São Gonçalo do Amarante;43890;28537;15353;Pequeno II;834,448;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Pedagogo; ; ; ; ;Servidor Estatutário; ; ; ; ; ;3;1;1; ; ;1;3; ; ; ;3;Selected
240260;2402603310404; Masculino; Médio Completo; Profissional de nível médio; Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;03/02/2020;2402600;Rio Grande do Norte;Região Nordeste;Ceará-Mirim;68141;35494;32647;Médio;724,381;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Comissionado; ;Nível Médio; ; ; ; ; ; ; ; ;Comissionado; ; ;1;3; ;1; ; ;1; ; ;2;2;4;Selected
240260;2402603310404; Feminino; Especialização; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;17/05/2021;2402600;Rio Grande do Norte;Região Nordeste;Ceará-Mirim;68141;35494;32647;Médio;724,381;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;3; ;1; ; ;1; ; ;2;2;4;Selected
240260;2402603310404; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;17/05/2021;2402600;Rio Grande do Norte;Região Nordeste;Ceará-Mirim;68141;35494;32647;Médio;724,381;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;3; ;1; ; ;1; ; ;2;2;4;Selected
240260;2402603310404; Feminino; Superior Completo; Outra formação de nível superior; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;01/08/2021;2402600;Rio Grande do Norte;Região Nordeste;Ceará-Mirim;68141;35494;32647;Médio;724,381;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ; ; ; ; ;Comissionado; ; ;1;3; ;1; ; ;1; ; ;2;2;4;Selected
240310;2403103307137; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Cuidador(a); Mais de 44 horas semanais;26/08/2020;2403103;Rio Grande do Norte;Região Nordeste;Currais Novos;42652;37777;4875;Pequeno II;864,349;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;1; ;1; ; ; ; ; ; ;2;2;Selected
240310;2403103307137; Masculino; Especialização; Assistente Social; Outro vínculo não permanente; Coordenador(a); De 21 a 30 horas semanais;26/08/2020;2403103;Rio Grande do Norte;Região Nordeste;Currais Novos;42652;37777;4875;Pequeno II;864,349;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;1; ;1; ; ; ; ; ; ;2;2;Selected
240325;2403253313269; Feminino; Especialização; Psicóloga(o); Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;05/04/2021;2403251;Rio Grande do Norte;Região Nordeste;Parnamirim;202456;202456;0;Grande;123,471;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ; ; ; ;Psicólogo;Servidor Estatutário; ; ; ; ; ;3; ;2; ; ;1;2; ;1; ;3;Selected
240325;2403253313269; Feminino; Superior Completo; Assistente Social; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;24/03/2022;2403251;Rio Grande do Norte;Região Nordeste;Parnamirim;202456;202456;0;Grande;123,471;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ; ;3; ;2; ; ;1;2; ;1; ;3;Selected
240325;2403253313269; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;30/12/2019;2403251;Rio Grande do Norte;Região Nordeste;Parnamirim;202456;202456;0;Grande;123,471;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ; ; ;3; ;2; ; ;1;2; ;1; ;3;Selected
240420;2404203312793; Feminino; Fundamental Completo; Sem formação profissional; Servidor(a) Temporária(o); Apoio Administrativo; De 31 a 40 horas semanais;01/03/2022;2404200;Rio Grande do Norte;Região Nordeste;Goianinha;22481;15477;7004;Pequeno II;192,279;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ;1;4;5;Selected
240420;2404203312793; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/03/2022;2404200;Rio Grande do Norte;Região Nordeste;Goianinha;22481;15477;7004;Pequeno II;192,279;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ;1;4;5;Selected
240420;2404203312793; Feminino; Superior Completo; Pedagoga(o); Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;19/05/2022;2404200;Rio Grande do Norte;Região Nordeste;Goianinha;22481;15477;7004;Pequeno II;192,279;completo;Municipal;31.08.2022;8/31/2022;61 a 80 anos;Nível Superior;Comissionado; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ;Comissionado; ;2; ;3;1;1; ; ;1; ; ;1;4;5;Selected
240420;2404203312793; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;04/04/2022;2404200;Rio Grande do Norte;Região Nordeste;Goianinha;22481;15477;7004;Pequeno II;192,279;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ;1;4;5;Selected
240420;2404203312793; Feminino; Fundamental Completo; Sem formação profissional; Servidor(a) Temporária(o); Serviços Gerais; De 31 a 40 horas semanais;01/03/2022;2404200;Rio Grande do Norte;Região Nordeste;Goianinha;22481;15477;7004;Pequeno II;192,279;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3;1;1; ; ;1; ; ;1;4;5;Selected
240450;2404503308271; Feminino; Superior Completo; Assistente Social; Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços; Técnico(a) de nível superior; Até 10 horas semanais;24/01/2022;2404507;Rio Grande do Norte;Região Nordeste;Guamaré;12404;4407;7997;Pequeno I;258,958;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3; ;2; ; ;1; ; ;1;4;5;Selected
240450;2404503308271; Feminino; Médio Incompleto; Sem formação profissional; Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços; Apoio Administrativo; De 31 a 40 horas semanais;05/11/2017;2404507;Rio Grande do Norte;Região Nordeste;Guamaré;12404;4407;7997;Pequeno I;258,958;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3; ;2; ; ;1; ; ;1;4;5;Selected
240450;2404503308271; Feminino; Superior Completo; Psicóloga(o); Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços; Técnico(a) de nível superior; Até 10 horas semanais;01/02/2022;2404507;Rio Grande do Norte;Região Nordeste;Guamaré;12404;4407;7997;Pequeno I;258,958;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes;2; ;3; ;2; ; ;1; ; ;1;4;5;Selected
240450;2404503308271; Feminino; Superior Completo; Assistente Social; Comissionada(o); Coordenador(a); De 11 a 20 horas semanais;02/01/2022;2404507;Rio Grande do Norte;Região Nordeste;Guamaré;12404;4407;7997;Pequeno I;258,958;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ;2; ;3; ;2; ; ;1; ; ;1;4;5;Selected
240450;2404503308271; Feminino; Fundamental Completo; Sem formação profissional; Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços; Serviços Gerais; De 31 a 40 horas semanais;07/01/2016;2404507;Rio Grande do Norte;Região Nordeste;Guamaré;12404;4407;7997;Pequeno I;258,958;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental; ; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes;2; ;3; ;2; ; ;1; ; ;1;4;5;Selected
240920;2409203310432; Masculino; Superior Incompleto; Sem formação profissional; Servidor(a) Temporária(o); Coordenador(a); De 31 a 40 horas semanais;10/01/2021;2409209;Rio Grande do Norte;Região Nordeste;Passagem;2895;1191;1704;Pequeno I;41,215;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ; ;3;3;Selected
240920;2409203310432; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;10/01/2021;2409209;Rio Grande do Norte;Região Nordeste;Passagem;2895;1191;1704;Pequeno I;41,215;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ; ;3;3;Selected
240920;2409203310432; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;10/01/2021;2409209;Rio Grande do Norte;Região Nordeste;Passagem;2895;1191;1704;Pequeno I;41,215;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ; ;3;3;Selected
241105;2411053306951; Feminino; Médio Completo; Profissional de nível médio; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;01/11/2022;2411056;Rio Grande do Norte;Região Nordeste;Tibau;3687;2835;852;Pequeno I;169,237;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Médio;Comissionado; ;Nível Médio; ; ; ; ; ; ; ; ;Comissionado; ; ;1; ; ; ; ; ; ; ; ;1; ;1;Selected
241120;2411203308342; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;31/05/2021;2411205;Rio Grande do Norte;Região Nordeste;Santa Cruz;35797;30499;5298;Pequeno II;624,356;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3; ;3; ; ; ; ; ;2;1;3;Selected
241120;2411203308342; Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnico(a) de nível superior; De 11 a 20 horas semanais;24/01/2017;2411205;Rio Grande do Norte;Região Nordeste;Santa Cruz;35797;30499;5298;Pequeno II;624,356;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ; ;3; ;3; ; ; ; ; ;2;1;3;Selected
241120;2411203308342; Feminino; Superior Completo; Assistente Social; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;01/09/2022;2411205;Rio Grande do Norte;Região Nordeste;Santa Cruz;35797;30499;5298;Pequeno II;624,356;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ; ;3; ;3; ; ; ; ; ;2;1;3;Selected
241150;2411503313093; Masculino; Superior Incompleto; Sem formação profissional; Outro vínculo não permanente; Coordenador(a); De 31 a 40 horas semanais;15/03/2021;2411502;Rio Grande do Norte;Região Nordeste;Santo Antônio;22216;14280;7936;Pequeno II;301,082;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ; ;3;3;Selected
241150;2411503313093; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;08/03/2021;2411502;Rio Grande do Norte;Região Nordeste;Santo Antônio;22216;14280;7936;Pequeno II;301,082;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ; ;3;3;Selected
241150;2411503313093; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;08/03/2021;2411502;Rio Grande do Norte;Região Nordeste;Santo Antônio;22216;14280;7936;Pequeno II;301,082;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ; ;3;3;Selected
241170;2411703312829; Feminino; Especialização; Assistente Social; Sem Vínculo; Técnico(a) de nível superior; De 31 a 40 horas semanais;07/11/2018;2411700;Rio Grande do Norte;Região Nordeste;São Bento do Trairí;3905;1884;2021;Pequeno I;190,818;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;1; ;1; ; ; ; ; ; ;1;1;Selected
241310;2413103312085; Masculino; Médio Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior; De 31 a 40 horas semanais;01/09/2022;2413102;Rio Grande do Norte;Região Nordeste;Senador Elói de Souza;5637;2423;3214;Pequeno I;167,608;completo;Municipal;31.08.2022;8/31/2022;41 a 50 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;2; ; ;1; ; ;1; ; ; ;2;2;Selected
241310;2413103312085; Feminino; Médio Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;01/09/2022;2413102;Rio Grande do Norte;Região Nordeste;Senador Elói de Souza;5637;2423;3214;Pequeno I;167,608;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;2; ; ;1; ; ;1; ; ; ;2;2;Selected
241350;2413503310436; Masculino; Superior Incompleto; Sem formação profissional; Comissionada(o); Coordenador(a); Até 10 horas semanais;10/01/2021;2413508;Rio Grande do Norte;Região Nordeste;Serrinha;6581;2121;4460;Pequeno I;193,351;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Médio;Comissionado; ;Nível Médio; ; ; ; ; ; ; ; ;Comissionado; ; ;1;2; ;1; ; ;1; ; ;1;2;3;Selected
241350;2413503310436; Feminino; Superior Completo; Assistente Social; Servidor(a) Temporária(o); Técnico(a) de nível superior; Até 10 horas semanais;10/01/2021;2413508;Rio Grande do Norte;Região Nordeste;Serrinha;6581;2121;4460;Pequeno I;193,351;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ;1;2;3;Selected
241350;2413503310436; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; Até 10 horas semanais;10/01/2021;2413508;Rio Grande do Norte;Região Nordeste;Serrinha;6581;2121;4460;Pequeno I;193,351;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;2; ;1; ; ;1; ; ;1;2;3;Selected
250050;2500503313723; Masculino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;19/08/2021;2500502;Paraíba;Região Nordeste;Alagoinha;13576;9034;4542;Pequeno I;96,98;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ;1;2;3;Selected
250050;2500503313723; Feminino; Superior Completo; Advogada(o); Comissionada(o); Coordenador(a); De 21 a 30 horas semanais;19/08/2021;2500502;Paraíba;Região Nordeste;Alagoinha;13576;9034;4542;Pequeno I;96,98;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ;Advogado; ; ; ;Comissionado; ; ; ;3; ;1; ;1;1; ; ;1;2;3;Selected
250050;2500503313723; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;19/08/2021;2500502;Paraíba;Região Nordeste;Alagoinha;13576;9034;4542;Pequeno I;96,98;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ; ;3; ;1; ;1;1; ; ;1;2;3;Selected
250157;2501573313121; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;11/05/2021;2501575;Paraíba;Região Nordeste;Barra de Santana;8206;731;7475;Pequeno I;374,374;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;1;4;1;1; ;1;1;1; ;1;3;5;Selected
250157;2501573313121; Feminino; Superior Completo; Pedagoga(o); Servidor(a) Temporária(o); Educador(a) Social; De 21 a 30 horas semanais;01/01/2021;2501575;Paraíba;Região Nordeste;Barra de Santana;8206;731;7475;Pequeno I;374,374;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior;Pedagogo; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;1;4;1;1; ;1;1;1; ;1;3;5;Selected
250157;2501573313121; Feminino; Superior Incompleto; Outra formação de nível superior; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;01/03/2021;2501575;Paraíba;Região Nordeste;Barra de Santana;8206;731;7475;Pequeno I;374,374;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Médio;Comissionado; ;Nível Médio; ; ; ; ; ; ; ; ;Comissionado; ; ;1;4;1;1; ;1;1;1; ;1;3;5;Selected
250157;2501573313121; Masculino; Superior Completo; Advogada(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 11 a 20 horas semanais;17/09/2021;2501575;Paraíba;Região Nordeste;Barra de Santana;8206;731;7475;Pequeno I;374,374;completo;Municipal;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Advogado; ; ; ; ;Outros vínculos não permanentes; ;1;4;1;1; ;1;1;1; ;1;3;5;Selected
250157;2501573313121; Feminino; Superior Completo; Assistente Social; Servidor(a) Estatutária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/09/2007;2501575;Paraíba;Região Nordeste;Barra de Santana;8206;731;7475;Pequeno I;374,374;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior; ;Assistente Social; ; ; ;Servidor Estatutário; ; ; ; ;1;4;1;1; ;1;1;1; ;1;3;5;Selected
250320;2503203313139; Feminino; Superior Completo; Psicóloga(o); Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/02/2021;2503209;Paraíba;Região Nordeste;Cabedelo;57944;57936;8;Médio;31,915;completo;Municipal;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ;Comissionado; ; ; ;3; ;2; ; ;1; ; ;3; ;3;Selected
250320;2503203313139; Feminino; Superior Completo; Assistente Social; Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;02/01/2017;2503209;Paraíba;Região Nordeste;Cabedelo;57944;57936;8;Médio;31,915;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ; ;3; ;2; ; ;1; ; ;3; ;3;Selected
250320;2503203313139; Feminino; Superior Completo; Assistente Social; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;11/04/2018;2503209;Paraíba;Região Nordeste;Cabedelo;57944;57936;8;Médio;31,915;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ; ;3; ;2; ; ;1; ; ;3; ;3;Selected
250460;2504603313045; Feminino; Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 21 a 30 horas semanais;01/11/2022;2504603;Paraíba;Região Nordeste;Conde;21400;14487;6913;Pequeno II;172,95;completo;Municipal;31.08.2022;8/31/2022;51 a 60 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ; ;1; ; ; ; ;1; ; ; ;1;1;Selected
25;2506003313041; Feminino; Superior Completo; Assistente Social; Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;01/01/2022; ;Paraíba;Região Nordeste; ; ; ; ; ; ;completo;Estadual;31.08.2022;8/31/2022;30 a 40 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;3; ; ;2; ; ;1;7;8;Not Selected
25;2506003313041; Feminino; Superior Completo; Assistente Social; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;01/06/2021; ;Paraíba;Região Nordeste; ; ; ; ; ; ;completo;Estadual;31.08.2022;8/31/2022;41 a 50 anos;Nível Superior;Comissionado; ; ;Nível Superior; ;Assistente Social; ; ; ; ; ;Comissionado; ; ;3;5; ;3; ; ;2; ; ;1;7;8;Not Selected
25;2506003313041; Masculino; Superior Completo; Psicóloga(o); Outro vínculo não permanente; Técnico(a) de nível superior; De 21 a 30 horas semanais;01/02/2022; ;Paraíba;Região Nordeste; ; ; ; ; ; ;completo;Estadual;31.08.2022;8/31/2022;16 a 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ; ;Psicólogo; ; ; ;Outros vínculos não permanentes; ;3;5; ;3; ; ;2; ; ;1;7;8;Not Selected
25;2506003313041; Feminino; Médio Completo; Sem formação profissional; Outro vínculo não permanente; Apoio Administrativo; De 31 a 40 horas semanais;01/02/2022; ;Paraíba;Região Nordeste; ; ; ; ; ; ;completo;Estadual;31.08.2022;8/31/2022;16 a 29 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ; ; ; ; ; ;Outros vínculos não permanentes; ;3;5; ;3; ; ;2; ; ;1;7;8;Not Selected
